Questions,Answers
"নতুন ডিডিও খোলার জন্য কি করবেন?
 Notun ddo kholar jonno ki korben?
","নতুন ডিডিও খোলার জন্য-
Treasury Rule SR  ৬৫ অনুযোগে DDO নিয়োগের জন্য মন্ত্রণালয় থেকে প্রদত্ত GO থাকতে হবে।
পূর্ববর্তী ডিডিও কর্তৃক নতুন ডিডিও এর Specimen signature সত্যায়িত করে পাঠাতে হবে 
DDO Information Form fill up করতে হবে
সংশ্লিষ্ট মন্ত্রণালয়ের CAFO  কর্তৃক DDO তথ্য এন্ট্রি করতে হবে ।
"
"কর্মচারীদের বেতন বিল কি ডিডিওকেই দাখিল ও করতে হবে?
Kormocharider beton bill ki ddo kei dakhil o korte hbe?",হ্যা. কর্মচারীদের বেতন বিল দাখিল ও ফরওয়ার্ড করার দায়িত্ব  ডিডিওর ।
"একজন কর্মচারীর কতগুলো তথ্য এন্ট্রি হলে এফটি এর মাধ্যমে কি বিল দেওয়া যাবে? 
ekjon kormocharir kotogulu tothy entry hole EFT er madhoyme ki bill deoaa jabe?","ব্যক্তিগত তথ্য, চাকুরী সংক্রান্ত তথ্য ও ব্যাংক হিসাব সংক্রান্ত তথ্যাদি এন্ট্রি, সংরক্ষণ ও অনুমোদনের পর EFT এর মাধ্যমে বিল প্রদান করা যাবে.  তবে ফরম অনুযায়ীই সকল তথ্য একেবারে এন্ট্রি করা ভালো ।"
"একজন কর্মচারীর এমপ্লয়ী টাইপ(অফিসার টু স্টাফ, স্টাফ টু অফিয়াসের) করার ক্ষেত্রে করণীয় কি? 
ekjon kormocharir employee type(officer To staff, staff to offiicer) korar  khettre korNio ki?","ক) Master Data-->Employee Type Change Request->NID with current type Select Employee Type to change(Correct),  Select Reason:Type Change এর কারণ উল্লেখ করতে হবে[অডিটর কর্তিক এন্ট্রি দিতে হয়] .
খ) Master Data--> Employee Type Change Approve এ [A&AO কর্তৃক এপ্প্রভ করতে হয়]"
"কি কি কারণে NID বাইপাস করতে হয়? NID বাইপাস এর ধাপ সমূহ কি?
ki ki karone NID Bypass korte hoi? Nid bypass er dhap smuh ki?
","নির্মোক্ত কারণে NID Bypass করতে হয়-
Partial Salary for new appointment.
Partial salary for Fractional bill (Bill pending before UserID registration)
Employee from Defence to Civil Contractual Service
NID Bypass এর ধাপ সমূহ: 
Master Data--> Employee Management-->NID Bypass Entry [অডিটর কর্তিক এন্ট্রি দিতে হয়] 
Master Data--> NID Bypass Check (New) [A&AO কর্তৃক এপ্প্রভ করতে হয়]
Master Data-->NID Bypass Approve (New) DCA/CAO/FC/SFC কর্তৃক এপ্প্রভ করতে হয়]"
"রিলিজিওন ইনফরমেশন এডিট করার ক্ষেত্রে করণীয় কি? 
Religion information edit korar khettre koronio ki?",Master Data--> Employee Management--> Religion Information Edit
"NID সংশোধনের পর স্মার্ট কার্ড এর নম্বর দিলে সে ক্ষেত্রে করণীয় কি? 
 NID songshodhoner por smart card er number dile se khettre kornio ki ?",এ ক্ষেত্রে প্রথমে বেতন নির্ধারণে NID  সংশোধন করতে হবে. যে NID নম্বর দিয়ে পে-ফিক্সেশন করা হয়েছে সেটাই কার্যকর থাকবে.
"iBAS++ এ স্টাফ এর তথ্য এন্ট্রি করার সময় এরর ম্যাসেজ প্রদর্শিত হয় ""Employee not active in any post"" এক্ষেত্রে করণীয় কি?
 iBAS++ e staff er totthy entry korar somoy error message prodorshito hy ""Employee not active in any post"" eikhettre koronio ki?",Staff কে Master Data--> Employee Management-->Employee Joining  মেনুর মাধ্যমে সঠিক অফিস এর নির্ধারিত ডিডিও কর্তৃক join করতে হবে
"ডিডিও বাজেট এক্সেকিউশন-->মাস্টার ডাটা তে কোনো কর্মচারী NID এর সাপেক্ষে স্টাফ ইনফরমেশন এন্ট্রি,Employee - Basic Information,  Service Information, Salary Information,  GPF Information প্রদর্শনের সময়  এরর ম্যাসেজ প্রদর্শিত হয় “You are not authorized to view this employee” - এক্ষেত্রে করণীয় কি?
ddio Budget Execution-->Master Data te kono kormochair NID er shapekkhe staff Staff Information Entry, Employee - Basic Information, Service Information, Salary Information, GPF Information  prodorshoner somoy error  message prodorshito hoi “You are not authorized to view this employee” eikhettre koronio ki ?","এমপ্লয়ী স্টেটাস থেকে এমপ্লয়ী এর অফিস এবং কোন ডিডিও এর অধীনে এন্ট্রি করা আছে তা দেখে নিতে হবে. মনে রাখতে হবে, যে User ID থেকে স্টাফ ইনফরমেশন এন্ট্রি করা হয়েছে user ID ব্যবহার করে স্টাফ কে রিলিজ করে সঠিক অফিস এর নির্ধারিত ডিডিও কর্তৃক জয়েনও করাতে  হবে/তথ্য এন্ট্রি করতে হবে"
"Release an Employee স্ক্রিন যে কোনো কর্মচারিকে রিলিজ করার সময় - স্টাফ এর ক্ষেত্রে এরর মেসেজ প্রদর্শিত হয় ""Employee has staff pay bill in batch pending. Please clear those pending bills and try again ""  এবং অফিসার এর ক্ষেত্রে ""employee has bill for officers pending. Please clear those pending bills and try again"" এই ক্ষেত্রে করণীয় কি?
Release an employee screen e kono kormocharike release korar somoy - staff er khetre error message prodorshito hoi ""employee has staff pay bill in batch pending. Please clear those pending bills and try again"" ebong officer er khettre error message prodorshito hoi ""employee has bill for officers pending. Please clear those pending bills and try again""  ei khettre koronio ki ?
",উভয় ক্ষেত্রে সংশ্লিষ্ট কর্মচারীর পেন্ডিং বিলের তথ্য Reports-->Token Reports-->Token Search by NID রিপোর্ট থেকে  অবগত হয়ে টোকেন/বিল এর মাধ্যমে নিস্পন্ন করতে হবে অথবা বাতিল/ফেরত দিতে হবে. তারপর Release an Employee স্ক্রিন এর মাধ্যমে কর্মচারীকে রিলিজ করতে হবে
